1008,"Nephritic and Nephrotic damage basement membrane in different ways...","<b>Nephritic</b> and N<b>ephrotic</b> damage <b>basement membrane</b> in different ways...<img src=""paste-23901493002716.jpg"" /><div><br /></div><div>Nephrotic- foot process abnormality</div><div><br /></div><div>Nephritic- inflammation and thrombosis of endothelium</div>"
1009,"First two major mechanisms of Immune Mediated Glomerulonephritis","First <b>two</b> major mechanisms of I<b>mmune Mediated Glomerulonephritis</b><img src=""paste-24013162152416.jpg"" />"
1010,"Possible locations of immune complex deposition in the glomerulus","Possible locations of <b>immune complex deposition</b> in the glomerulus<img src=""paste-24056111825427.jpg"" /><div><br /></div><div>The ones that matter to us:</div><div><br /></div><div>1) Epithelial = <b>nephrotic</b></div><div><br /></div><div>3) Endothelial = <b>nephritic</b></div><div><br /></div><div>4) Mesangium = <b>both</b></div>"
1011,"Two types of immunofluorescence deposition patterns","Two types of <b>immunofluorescence deposition patterns</b><div><b>Linear</b> and <b>Granular</b> (lumpy)</div><div><br /></div><img src=""paste-24124831302156.jpg"" />"
1012,"Acute Infection Related Glomerulonephritis (AIRGN):Cause, pathogenesis, immunofluorescence pattern","<div>Acute Infection Related Glomerulonephritis (<b>AIRGN</b>):</div><div><br /></div><div>Cause, pathogenesis, immunofluorescence pattern</div><div>Post Infectious or Post Streptococcal</div><div><br /></div><img src=""paste-24206435680644.jpg"" /><div><br /></div><div><img src=""paste-24288040059358.jpg"" /></div><div><br /></div><div>a proliferative glomerulonephritis</div><div><br /></div><div><img src=""paste-24309514895879.jpg"" /></div><div><br /></div><div><img src=""paste-24322399797763.jpg"" /></div><div><br /></div><div><img src=""paste-24352464568838.jpg"" /></div>"
1013," paste-24386824307121.jpg ","<img src=""paste-24386824307121.jpg"" /><b>A</b><div><b><br /></b></div><div><b><img src=""paste-53846004990270.jpg"" /></b></div><div><b><br /></b></div><div>Infection: IgG</div>"
1014,"Crescentic Glomerulonephritis","<b>Crescentic </b>Glomerulonephritis<img src=""paste-24421184045403.jpg"" /><div><br /></div><div><img src=""paste-24442658882057.jpg"" /></div><div><br /></div><div><img src=""paste-54520314855681.jpg"" /></div><div><br /></div>"
1015,"First two subtypes of RPGN","First <b>two </b>subtypes of <b>RPGN</b><img src=""paste-24464133718541.jpg"" /><div><br /></div><div><u>Type I:&nbsp;</u></div><div>- Anti-glomerular basement membrane disease.&nbsp;</div><div>- <b>Linear IgG</b> deposition</div><div>- Worst and rarest.&nbsp;</div><div><br /></div><div><img src=""paste-55972013801802.jpg"" /></div><div><br /></div>"
1016,"RPGN Type I Goodpastures immunofluorescence pattern","RPGN Type I <b>Goodpastures immunofluorescence</b> pattern<img src=""paste-24571507900934.jpg"" />"
1017,"Type III RPGN","<b>Type III</b> RPGN<img src=""paste-24614457573853.jpg"" /><div><br /></div><div><b>Most common</b></div><div><br /></div><div><b>No immunofluorescence picture &nbsp;</b></div><div><br /></div><div><b>pANCA</b> = myeloperoxidase</div><div><br /></div><div><b>cANCA</b> = proteinase 3</div>"
1018,"p and c ANCA","p and c <b>ANCA</b><img src=""paste-24704651887133.jpg"" /><div><br /></div><div>pANCA = perinuclear = myeloperoxidase</div><div><br /></div><div>cANCA = cytoplasmic = proteinase 3</div>"
1019," paste-24739011625417.jpg ","<img src=""paste-24739011625417.jpg"" /><b>A</b><div><br /></div><div><img src=""paste-58278411239710.jpg"" /></div><div><br /></div>"
1020,"Membranous Nephropathy","<b>Membranous</b>&nbsp;Nephropathy<div>Common cause of <b>nephrotic syndrome</b> in adults</div><div><br /></div><div><b>Subepithelial</b> immune complex deposition</div><div><br /></div><div><b>Phospholipase A2 receptor</b> resides in foot process</div><div><br /></div><div><b>Complement</b> mediated</div><div><br /></div><div>Thick, saw-toothed, spiked glomerular basement membrane</div><div><br /></div><div><img src=""paste-24876450578940.jpg"" /></div><div><br /></div><div><br /></div><img src=""paste-24790551233028.jpg"" /><div><br /></div><div><img src=""paste-24803436134904.jpg"" /></div><div><br /></div><div><img src=""paste-24816321036815.jpg"" /></div><div><br /></div><div><img src=""paste-24829205938698.jpg"" /></div><div><br /></div><div><img src=""paste-24842090840601.jpg"" /><br /><div><br /></div><div><br /></div></div>"
1021,"Membranoproliferative Glomerulonephritis","<b>Membranoproliferative</b> Glomerulonephritis<div>Most common cause is abnormal immune reaction to <b>hepatitis C infection</b></div><div><br /></div><div>Most glomeruli involved (<b>diffuse</b>)</div><div><br /></div><div><b>Double basement membranes</b></div><div><br /></div><img src=""paste-24945170055601.jpg"" /><div><br /></div><div><img src=""paste-25061134172619.jpg"" />&nbsp;</div><div><br /></div><div><img src=""paste-25074019074504.jpg"" /></div><div><br /></div><div><img src=""paste-25099788878274.jpg"" /></div><div><br /></div><div>dark material in subendothelial location</div>"
1022,"IgA Nephropathy","<b>IgA</b> Nephropathy<b>Most common primary glomerulonephritis</b> in the world<div><br /></div><div>Big in Asia and Australia&nbsp;</div><div><br /></div><div>Accumulation of <b>IgA</b> in <b>mesangium&nbsp;</b></div><div><br /></div><div><img src=""paste-25177098289480.jpg"" /></div><div><br /></div><div><img src=""paste-25198573126099.jpg"" /></div><div><br /></div><div><img src=""paste-25220047962592.jpg"" /></div><div><br /></div><div><img src=""paste-25232932864469.jpg"" /></div><div><br /></div><div><img src=""paste-25245817766413.jpg"" /></div><div><br /></div><div><img src=""paste-25258702668288.jpg"" /></div><div><br /></div><div><img src=""paste-25271587570154.jpg"" /></div>"
1023,"Summary of diagnosis of glomerular disease","Summary of diagnosis of glomerular disease<img src=""paste-25305947308547.jpg"" />"
1024,"What is Azotemia and when is it elevated?","What is <b>Azotemia</b> and <b>when</b> is it elevated?<img src=""paste-47025596924015.jpg"" />"
1025,"<p>Where are the glomeruli and what do they do?</p>","<p>Where are the glomeruli and what do they do?Renal cortex. Filter blood from the afferent arterioles.</p>

<div>&nbsp;</div>

<div><img src=""paste-23141283791373.jpg"" /></div>
"
1026,"Histological structure of normal glomerulus","Histological structure of normal glomerulus<img src=""paste-23192823398919.jpg"" /><div><br /></div><div><b>Urinary pole</b> where urine flows out is on far side.</div><div><b>Vascular pole</b> where blood comes and leaves is on the close side (afferent and efferent)</div><div><br /></div><div>1) Surrounds glomerulus</div><div>2) Line Bowman's space</div><div>3) Where urine is filtered into</div><div>4) Coat the glomerular ""tuft""</div><div>5) Little thin loops within the tuft</div><div>6) Basement membrane of capillaries</div><div>7) Afferent arteriole cells</div><div>8) Branched structure in the middle of the glomerular tuft, means ""middle vessels"", capillaries wind themselves around the mesangium</div>"
1027,"EM of Glomerulus; name the parts","EM of Glomerulus; name the parts<img src=""paste-23330262352402.jpg"" /><div><br /></div><div>1) Makes foot processes</div><div>2) Provides basement membrane for blood to be filtered across</div><div>3) Divides inner portion of capillary loop from urinary space</div><div>4) Where the blood input comes from</div><div>5) Matrix for capillaries to wind around</div><div>6) From the visceral epithelial cells, they line outer part of capillary loop</div><div>7) The space between foot processes and endothelial fenestrations</div><div>8) The blood side of the filter</div><div><br /></div><div><br /></div><div><img src=""paste-23394686861843.jpg"" /></div><div><br /></div><div>Don't need to distinguish the layers of the lamina</div>"
1028,"Immune Mediated glomerular disease types","<b>Immune Mediated</b> glomerular disease types<img src=""paste-46063524249886.jpg"" /><div><br /></div>"
1029,"Define diffuse, focal, global, and segmental disease","Define <b>diffuse</b>, <b>focal</b>, <b>global</b>, and <b>segmental</b> disease<img src=""paste-23463406338285.jpg"" /><div><br /></div><div>1) Most or all glomeruli are involved</div><div><br /></div><div>2) Some glomeruli involved</div><div><br /></div><div>3) Entire glomerulus</div><div><br /></div><div>4) Part of glomerulus</div>"
1030,"3 main presentations of Glomerular Disease","3 main presentations of Glomerular Disease<img src=""paste-23549305684471.jpg"" /><div><br /></div><div>RPGN</div><div><br /></div><div><img src=""paste-50508815401215.jpg"" /></div><div><br /></div><div><img src=""paste-50620484550917.jpg"" /></div><div><br /></div><div><img src=""paste-50641959387394.jpg"" /></div>"
1031,"Acute Nephritic Syndrome","<b>Acute Nephritic Syndrome</b><img src=""paste-23618025161205.jpg"" /><div><br /></div><div><img src=""paste-49538152792317.jpg"" /><br /><div><br /></div><div><img src=""paste-46737834115303.jpg"" /><br /><div><br /></div><div><img src=""paste-46716359279008.jpg"" /></div><div><br /></div></div></div>"
1032,"RPGN clinical signs and symptoms","<b>RPGN</b> clinical signs and symptoms<img src=""paste-23746874180084.jpg"" /><div><br /></div><div><img src=""paste-51135880626436.jpg"" /></div><div><br /></div><div>Signs and symptoms of <b>severe nephritic syndrome</b></div>"
1033,"Nephrotic Syndrome","<b>Nephrotic Syndrome</b><img src=""paste-23815593656740.jpg"" /><div><br /></div><div>Due to altered foot processes of visceral epithelium<br /><div><br /></div><div><img src=""paste-50122268344576.jpg"" /></div></div>"
1034,"Causes of nephrotic syndrome","Causes of <b>nephrotic syndrome</b><div>Mostly:</div><div><br /></div><div>- <b>Minimal change disease</b> in <b>children</b></div><div><b><br /></b></div><div><b><img src=""paste-64656437674243.jpg"" /></b></div><div><b><br /></b></div><div>- <b>Focal segmental glomerulonephritis</b>&nbsp;and&nbsp;</div><div><b>- Membranous glomerulopathy</b> in <b>adults</b></div><div><b><br /></b></div><div>Can also be caused by <b>systemic diseases&nbsp;</b></div><div><br /></div><img src=""paste-23858543329792.jpg"" /><div><br /></div><div><br /></div>"
1035,"Nephritic and Nephrotic damage basement membrane in different ways...","<b>Nephritic</b> and N<b>ephrotic</b> damage <b>basement membrane</b> in different ways...<img src=""paste-23901493002716.jpg"" /><div><br /></div><div>Nephrotic- foot process abnormality</div><div><br /></div><div>Nephritic- inflammation and thrombosis of endothelium</div>"
1036,"First two major mechanisms of Immune Mediated Glomerulonephritis","First <b>two</b> major mechanisms of I<b>mmune Mediated Glomerulonephritis</b><img src=""paste-24013162152416.jpg"" />"
1037,"Possible locations of immune complex deposition in the glomerulus","Possible locations of <b>immune complex deposition</b> in the glomerulus<img src=""paste-24056111825427.jpg"" /><div><br /></div><div>The ones that matter to us:</div><div><br /></div><div>1) Epithelial = <b>nephrotic</b></div><div><br /></div><div>3) Endothelial = <b>nephritic</b></div><div><br /></div><div>4) Mesangium = <b>both</b></div>"
1038,"Two types of immunofluorescence deposition patterns","Two types of <b>immunofluorescence deposition patterns</b><div><b>Linear</b> and <b>Granular</b> (lumpy)</div><div><br /></div><img src=""paste-24124831302156.jpg"" />"
1039,"Acute Infection Related Glomerulonephritis (AIRGN):Cause, pathogenesis, immunofluorescence pattern","<div>Acute Infection Related Glomerulonephritis (<b>AIRGN</b>):</div><div><br /></div><div>Cause, pathogenesis, immunofluorescence pattern</div><div>Post Infectious or Post Streptococcal</div><div><br /></div><img src=""paste-24206435680644.jpg"" /><div><br /></div><div><img src=""paste-24288040059358.jpg"" /></div><div><br /></div><div>a proliferative glomerulonephritis</div><div><br /></div><div><img src=""paste-24309514895879.jpg"" /></div><div><br /></div><div><img src=""paste-24322399797763.jpg"" /></div><div><br /></div><div><img src=""paste-24352464568838.jpg"" /></div>"
1040," paste-24386824307121.jpg ","<img src=""paste-24386824307121.jpg"" /><b>A</b><div><b><br /></b></div><div><b><img src=""paste-53846004990270.jpg"" /></b></div><div><b><br /></b></div><div>Infection: IgG</div>"
1041,"Crescentic Glomerulonephritis","<b>Crescentic </b>Glomerulonephritis<img src=""paste-24421184045403.jpg"" /><div><br /></div><div><img src=""paste-24442658882057.jpg"" /></div><div><br /></div><div><img src=""paste-54520314855681.jpg"" /></div><div><br /></div>"
1042,"First two subtypes of RPGN","First <b>two </b>subtypes of <b>RPGN</b><img src=""paste-24464133718541.jpg"" /><div><br /></div><div><u>Type I:&nbsp;</u></div><div>- Anti-glomerular basement membrane disease.&nbsp;</div><div>- <b>Linear IgG</b> deposition</div><div>- Worst and rarest.&nbsp;</div><div><br /></div><div><img src=""paste-55972013801802.jpg"" /></div><div><br /></div>"
1043,"RPGN Type I Goodpastures immunofluorescence pattern","RPGN Type I <b>Goodpastures immunofluorescence</b> pattern<img src=""paste-24571507900934.jpg"" />"
1044,"Type III RPGN","<b>Type III</b> RPGN<img src=""paste-24614457573853.jpg"" /><div><br /></div><div><b>Most common</b></div><div><br /></div><div><b>No immunofluorescence picture &nbsp;</b></div><div><br /></div><div><b>pANCA</b> = myeloperoxidase</div><div><br /></div><div><b>cANCA</b> = proteinase 3</div>"
1045,"p and c ANCA","p and c <b>ANCA</b><img src=""paste-24704651887133.jpg"" /><div><br /></div><div>pANCA = perinuclear = myeloperoxidase</div><div><br /></div><div>cANCA = cytoplasmic = proteinase 3</div>"
1046," paste-24739011625417.jpg ","<img src=""paste-24739011625417.jpg"" /><b>A</b><div><br /></div><div><img src=""paste-58278411239710.jpg"" /></div><div><br /></div>"
1047,"Membranous Nephropathy","<b>Membranous</b>&nbsp;Nephropathy<div>Common cause of <b>nephrotic syndrome</b> in adults</div><div><br /></div><div><b>Subepithelial</b> immune complex deposition</div><div><br /></div><div><b>Phospholipase A2 receptor</b> resides in foot process</div><div><br /></div><div><b>Complement</b> mediated</div><div><br /></div><div>Thick, saw-toothed, spiked glomerular basement membrane</div><div><br /></div><div><img src=""paste-24876450578940.jpg"" /></div><div><br /></div><div><br /></div><img src=""paste-24790551233028.jpg"" /><div><br /></div><div><img src=""paste-24803436134904.jpg"" /></div><div><br /></div><div><img src=""paste-24816321036815.jpg"" /></div><div><br /></div><div><img src=""paste-24829205938698.jpg"" /></div><div><br /></div><div><img src=""paste-24842090840601.jpg"" /><br /><div><br /></div><div><br /></div></div>"
1048,"Membranoproliferative Glomerulonephritis","<b>Membranoproliferative</b> Glomerulonephritis<div>Most common cause is abnormal immune reaction to <b>hepatitis C infection</b></div><div><br /></div><div>Most glomeruli involved (<b>diffuse</b>)</div><div><br /></div><div><b>Double basement membranes</b></div><div><br /></div><img src=""paste-24945170055601.jpg"" /><div><br /></div><div><img src=""paste-25061134172619.jpg"" />&nbsp;</div><div><br /></div><div><img src=""paste-25074019074504.jpg"" /></div><div><br /></div><div><img src=""paste-25099788878274.jpg"" /></div><div><br /></div><div>dark material in subendothelial location</div>"
1049,"IgA Nephropathy","<b>IgA</b> Nephropathy<b>Most common primary glomerulonephritis</b> in the world<div><br /></div><div>Big in Asia and Australia&nbsp;</div><div><br /></div><div>Accumulation of <b>IgA</b> in <b>mesangium&nbsp;</b></div><div><br /></div><div><img src=""paste-25177098289480.jpg"" /></div><div><br /></div><div><img src=""paste-25198573126099.jpg"" /></div><div><br /></div><div><img src=""paste-25220047962592.jpg"" /></div><div><br /></div><div><img src=""paste-25232932864469.jpg"" /></div><div><br /></div><div><img src=""paste-25245817766413.jpg"" /></div><div><br /></div><div><img src=""paste-25258702668288.jpg"" /></div><div><br /></div><div><img src=""paste-25271587570154.jpg"" /></div>"
1050,"Summary of diagnosis of glomerular disease","Summary of diagnosis of glomerular disease<img src=""paste-25305947308547.jpg"" />"
1051,"What is Azotemia and when is it elevated?","What is <b>Azotemia</b> and <b>when</b> is it elevated?<img src=""paste-47025596924015.jpg"" />"
1052,"<p>Where are the glomeruli and what do they do?</p>
","<p>Where are the glomeruli and what do they do?Renal cortex. Filter blood from the afferent arterioles.</p>

<p>// Testing Edit Cards</p>

<div>&nbsp;</div>

<div><img src=""paste-23141283791373.jpg"" /></div>
"
1053,"Histological structure of normal glomerulus","Histological structure of normal glomerulus<img src=""paste-23192823398919.jpg"" /><div><br /></div><div><b>Urinary pole</b> where urine flows out is on far side.</div><div><b>Vascular pole</b> where blood comes and leaves is on the close side (afferent and efferent)</div><div><br /></div><div>1) Surrounds glomerulus</div><div>2) Line Bowman's space</div><div>3) Where urine is filtered into</div><div>4) Coat the glomerular ""tuft""</div><div>5) Little thin loops within the tuft</div><div>6) Basement membrane of capillaries</div><div>7) Afferent arteriole cells</div><div>8) Branched structure in the middle of the glomerular tuft, means ""middle vessels"", capillaries wind themselves around the mesangium</div>"
1054,"EM of Glomerulus; name the parts","EM of Glomerulus; name the parts<img src=""paste-23330262352402.jpg"" /><div><br /></div><div>1) Makes foot processes</div><div>2) Provides basement membrane for blood to be filtered across</div><div>3) Divides inner portion of capillary loop from urinary space</div><div>4) Where the blood input comes from</div><div>5) Matrix for capillaries to wind around</div><div>6) From the visceral epithelial cells, they line outer part of capillary loop</div><div>7) The space between foot processes and endothelial fenestrations</div><div>8) The blood side of the filter</div><div><br /></div><div><br /></div><div><img src=""paste-23394686861843.jpg"" /></div><div><br /></div><div>Don't need to distinguish the layers of the lamina</div>"
1055,"Immune Mediated glomerular disease types","<b>Immune Mediated</b> glomerular disease types<img src=""paste-46063524249886.jpg"" /><div><br /></div>"
1056,"Define diffuse, focal, global, and segmental disease","Define <b>diffuse</b>, <b>focal</b>, <b>global</b>, and <b>segmental</b> disease<img src=""paste-23463406338285.jpg"" /><div><br /></div><div>1) Most or all glomeruli are involved</div><div><br /></div><div>2) Some glomeruli involved</div><div><br /></div><div>3) Entire glomerulus</div><div><br /></div><div>4) Part of glomerulus</div>"
1057,"3 main presentations of Glomerular Disease","3 main presentations of Glomerular Disease<img src=""paste-23549305684471.jpg"" /><div><br /></div><div>RPGN</div><div><br /></div><div><img src=""paste-50508815401215.jpg"" /></div><div><br /></div><div><img src=""paste-50620484550917.jpg"" /></div><div><br /></div><div><img src=""paste-50641959387394.jpg"" /></div>"
1058,"Acute Nephritic Syndrome","<b>Acute Nephritic Syndrome</b><img src=""paste-23618025161205.jpg"" /><div><br /></div><div><img src=""paste-49538152792317.jpg"" /><br /><div><br /></div><div><img src=""paste-46737834115303.jpg"" /><br /><div><br /></div><div><img src=""paste-46716359279008.jpg"" /></div><div><br /></div></div></div>"
1059,"RPGN clinical signs and symptoms","<b>RPGN</b> clinical signs and symptoms<img src=""paste-23746874180084.jpg"" /><div><br /></div><div><img src=""paste-51135880626436.jpg"" /></div><div><br /></div><div>Signs and symptoms of <b>severe nephritic syndrome</b></div>"
1060,"Nephrotic Syndrome","<b>Nephrotic Syndrome</b><img src=""paste-23815593656740.jpg"" /><div><br /></div><div>Due to altered foot processes of visceral epithelium<br /><div><br /></div><div><img src=""paste-50122268344576.jpg"" /></div></div>"
1061,"Causes of nephrotic syndrome","Causes of <b>nephrotic syndrome</b><div>Mostly:</div><div><br /></div><div>- <b>Minimal change disease</b> in <b>children</b></div><div><b><br /></b></div><div><b><img src=""paste-64656437674243.jpg"" /></b></div><div><b><br /></b></div><div>- <b>Focal segmental glomerulonephritis</b>&nbsp;and&nbsp;</div><div><b>- Membranous glomerulopathy</b> in <b>adults</b></div><div><b><br /></b></div><div>Can also be caused by <b>systemic diseases&nbsp;</b></div><div><br /></div><img src=""paste-23858543329792.jpg"" /><div><br /></div><div><br /></div>"
1062,"Nephritic and Nephrotic damage basement membrane in different ways...","<b>Nephritic</b> and N<b>ephrotic</b> damage <b>basement membrane</b> in different ways...<img src=""paste-23901493002716.jpg"" /><div><br /></div><div>Nephrotic- foot process abnormality</div><div><br /></div><div>Nephritic- inflammation and thrombosis of endothelium</div>"
1063,"First two major mechanisms of Immune Mediated Glomerulonephritis","First <b>two</b> major mechanisms of I<b>mmune Mediated Glomerulonephritis</b><img src=""paste-24013162152416.jpg"" />"
1064,"Possible locations of immune complex deposition in the glomerulus","Possible locations of <b>immune complex deposition</b> in the glomerulus<img src=""paste-24056111825427.jpg"" /><div><br /></div><div>The ones that matter to us:</div><div><br /></div><div>1) Epithelial = <b>nephrotic</b></div><div><br /></div><div>3) Endothelial = <b>nephritic</b></div><div><br /></div><div>4) Mesangium = <b>both</b></div>"
1065,"Two types of immunofluorescence deposition patterns","Two types of <b>immunofluorescence deposition patterns</b><div><b>Linear</b> and <b>Granular</b> (lumpy)</div><div><br /></div><img src=""paste-24124831302156.jpg"" />"
1066,"Acute Infection Related Glomerulonephritis (AIRGN):Cause, pathogenesis, immunofluorescence pattern","<div>Acute Infection Related Glomerulonephritis (<b>AIRGN</b>):</div><div><br /></div><div>Cause, pathogenesis, immunofluorescence pattern</div><div>Post Infectious or Post Streptococcal</div><div><br /></div><img src=""paste-24206435680644.jpg"" /><div><br /></div><div><img src=""paste-24288040059358.jpg"" /></div><div><br /></div><div>a proliferative glomerulonephritis</div><div><br /></div><div><img src=""paste-24309514895879.jpg"" /></div><div><br /></div><div><img src=""paste-24322399797763.jpg"" /></div><div><br /></div><div><img src=""paste-24352464568838.jpg"" /></div>"
1067," paste-24386824307121.jpg ","<img src=""paste-24386824307121.jpg"" /><b>A</b><div><b><br /></b></div><div><b><img src=""paste-53846004990270.jpg"" /></b></div><div><b><br /></b></div><div>Infection: IgG</div>"
1068,"Crescentic Glomerulonephritis","<b>Crescentic </b>Glomerulonephritis<img src=""paste-24421184045403.jpg"" /><div><br /></div><div><img src=""paste-24442658882057.jpg"" /></div><div><br /></div><div><img src=""paste-54520314855681.jpg"" /></div><div><br /></div>"
1069,"First two subtypes of RPGN","First <b>two </b>subtypes of <b>RPGN</b><img src=""paste-24464133718541.jpg"" /><div><br /></div><div><u>Type I:&nbsp;</u></div><div>- Anti-glomerular basement membrane disease.&nbsp;</div><div>- <b>Linear IgG</b> deposition</div><div>- Worst and rarest.&nbsp;</div><div><br /></div><div><img src=""paste-55972013801802.jpg"" /></div><div><br /></div>"
1070,"RPGN Type I Goodpastures immunofluorescence pattern","RPGN Type I <b>Goodpastures immunofluorescence</b> pattern<img src=""paste-24571507900934.jpg"" />"
1071,"Type III RPGN","<b>Type III</b> RPGN<img src=""paste-24614457573853.jpg"" /><div><br /></div><div><b>Most common</b></div><div><br /></div><div><b>No immunofluorescence picture &nbsp;</b></div><div><br /></div><div><b>pANCA</b> = myeloperoxidase</div><div><br /></div><div><b>cANCA</b> = proteinase 3</div>"
1072,"p and c ANCA","p and c <b>ANCA</b><img src=""paste-24704651887133.jpg"" /><div><br /></div><div>pANCA = perinuclear = myeloperoxidase</div><div><br /></div><div>cANCA = cytoplasmic = proteinase 3</div>"
1073," paste-24739011625417.jpg ","<img src=""paste-24739011625417.jpg"" /><b>A</b><div><br /></div><div><img src=""paste-58278411239710.jpg"" /></div><div><br /></div>"
1074,"Membranous Nephropathy","<b>Membranous</b>&nbsp;Nephropathy<div>Common cause of <b>nephrotic syndrome</b> in adults</div><div><br /></div><div><b>Subepithelial</b> immune complex deposition</div><div><br /></div><div><b>Phospholipase A2 receptor</b> resides in foot process</div><div><br /></div><div><b>Complement</b> mediated</div><div><br /></div><div>Thick, saw-toothed, spiked glomerular basement membrane</div><div><br /></div><div><img src=""paste-24876450578940.jpg"" /></div><div><br /></div><div><br /></div><img src=""paste-24790551233028.jpg"" /><div><br /></div><div><img src=""paste-24803436134904.jpg"" /></div><div><br /></div><div><img src=""paste-24816321036815.jpg"" /></div><div><br /></div><div><img src=""paste-24829205938698.jpg"" /></div><div><br /></div><div><img src=""paste-24842090840601.jpg"" /><br /><div><br /></div><div><br /></div></div>"
1075,"Membranoproliferative Glomerulonephritis","<b>Membranoproliferative</b> Glomerulonephritis<div>Most common cause is abnormal immune reaction to <b>hepatitis C infection</b></div><div><br /></div><div>Most glomeruli involved (<b>diffuse</b>)</div><div><br /></div><div><b>Double basement membranes</b></div><div><br /></div><img src=""paste-24945170055601.jpg"" /><div><br /></div><div><img src=""paste-25061134172619.jpg"" />&nbsp;</div><div><br /></div><div><img src=""paste-25074019074504.jpg"" /></div><div><br /></div><div><img src=""paste-25099788878274.jpg"" /></div><div><br /></div><div>dark material in subendothelial location</div>"
1076,"IgA Nephropathy","<b>IgA</b> Nephropathy<b>Most common primary glomerulonephritis</b> in the world<div><br /></div><div>Big in Asia and Australia&nbsp;</div><div><br /></div><div>Accumulation of <b>IgA</b> in <b>mesangium&nbsp;</b></div><div><br /></div><div><img src=""paste-25177098289480.jpg"" /></div><div><br /></div><div><img src=""paste-25198573126099.jpg"" /></div><div><br /></div><div><img src=""paste-25220047962592.jpg"" /></div><div><br /></div><div><img src=""paste-25232932864469.jpg"" /></div><div><br /></div><div><img src=""paste-25245817766413.jpg"" /></div><div><br /></div><div><img src=""paste-25258702668288.jpg"" /></div><div><br /></div><div><img src=""paste-25271587570154.jpg"" /></div>"
1077,"Summary of diagnosis of glomerular disease","Summary of diagnosis of glomerular disease<img src=""paste-25305947308547.jpg"" />"
